NameSet,Number,Surname,GivenName,MiddleInitial,StreetAddress,ZipCode,EmailAddress,Username,TelephoneNumber,Centimeters,Kilograms,Birthday,Company,NationalID
American,14,Schmid,Lynn,B,"4902 Meadow Lane",94520,LynnBSchmid@teleworm.us,Insconothe1941,707-287-0198,162,65.5,6/23/1941,"The Independent Planners",567-87-1253
American,15,Boston,Jesse,J,"4806 Brown Street",94596,JesseJBoston@teleworm.us,Squen1979,925-938-5529,175,74.7,2/27/1979,Prestiga-Biz,562-25-2242
American,16,Brown,Vicente,M,"1489 Alfred Drive",17111,VicenteMBrown@superrito.com,Nothat,717-994-7541,174,69.5,1/17/1971,"Magna Wealth",201-70-5163
American,17,Winland,Brant,J,"2543 Paradise Lane",92501,BrantJWinland@armyspy.com,Sterty77,909-690-8402,184,78.7,3/7/1977,"Zany Brainy",554-24-3391
American,18,Lukasik,Michael,A,"2199 Commerce Boulevard",68701,MichaelALukasik@jourrapide.com,Rill1944,402-518-0027,163,74.7,9/29/1944,"Super Saver Foods",508-34-5533
American,19,Hirsch,Dustin,M,"3896 Raoul Wallenberg Place",06902,DustinMHirsch@teleworm.us,Lerning,203-828-4413,181,111.4,9/27/1958,"Bold Ideas",042-74-7215
American,20,Chandler,Kathleen,T,"240 Pleasant Hill Road",33463,KathleenTChandler@cuvox.de,Sagen1943,561-926-0852,164,63.6,12/22/1943,"Federated Group",266-62-8252
American,21,Charles,Matthew,G,"1990 Nancy Street",27601,MatthewGCharles@rhyta.com,Inct1962,919-551-6770,177,76.9,1/12/1962,"Pay 'N Pak",244-82-6147
American,22,Leblanc,Patrick,N,"74 Lyon Avenue",02110,PatrickNLeblanc@superrito.com,Thicia,508-960-5097,159,76.7,4/12/1986,"Gas Depot",021-26-9077
American,23,Smith,Hayley,L,"84 Glenview Drive",77901,HayleyLSmith@jourrapide.com,Harome,361-575-2376,153,70.6,11/13/1944,Chargepal,455-56-9713
American,24,Brennan,Jennifer,A,"2962 Illinois Avenue",97230,JenniferABrennan@gustr.com,Boble1989,503-730-9814,167,64.6,4/20/1989,Flexus,544-57-0683
American,25,Ayers,Shawn,A,"1038 Davis Place",43537,ShawnAAyers@fleckens.hu,Hineen,419-250-4871,184,89.9,3/31/1969,AdventureSports!,288-76-2896
American,26,Grahm,John,H,"3178 Southern Avenue",50616,JohnHGrahm@jourrapide.com,Lopery,641-228-0698,177,99.5,9/8/1967,"Frame Scene",484-88-1523
American,27,Rodriquez,Amanda,T,"613 Mesa Drive",89032,AmandaTRodriquez@superrito.com,Truces,702-343-6014,172,97.1,1/14/1997,Fretter,680-50-9955
American,28,Rodgers,Margaret,J,"3403 Valley Lane",78704,MargaretJRodgers@fleckens.hu,Alent1942,512-707-6992,153,66.0,1/2/1942,"Showbiz Pizza Place",636-30-0048
American,29,Dalrymple,John,A,"678 Maxwell Farm Road",96001,JohnADalrymple@rhyta.com,Froustommer1995,530-945-3709,187,70.9,9/17/1995,"Vitamax Health Food Center",547-76-1147
American,30,Garcia,William,A,"2838 May Street",40965,WilliamAGarcia@rhyta.com,Wolk1993,606-246-3240,181,96.2,1/10/1993,"Farmer Jack",402-41-8248
American,31,McFadden,Naomi,D,"3745 Ashton Lane",78701,NaomiDMcFadden@cuvox.de,Beadis,512-536-6637,157,86.9,5/11/1972,"Electric Avenue",451-76-7856
American,32,Klein,Freida,R,"693 Brannon Street",90014,FreidaRKlein@rhyta.com,Yountand,213-234-8262,160,74.1,10/12/1959,"Balanced Fortune",610-39-6488
American,33,Waldman,Ellen,M,"4002 Deer Haven Drive",29655,EllenMWaldman@einrot.com,Prictien,864-352-2221,167,52.5,6/12/1946,"Life's Gold",250-37-5658
American,34,Galloway,Dennis,S,"691 Deercove Drive",75074,DennisSGalloway@rhyta.com,Exuated,214-925-6490,182,100.8,11/21/1933,"Creative Wealth",462-72-4860
American,35,Gilmore,Deanna,R,"1568 Woodland Terrace",95630,DeannaRGilmore@gustr.com,Fronly58,916-933-6256,161,91.2,4/19/1958,"Honest Air Group",603-52-6660
American,36,Herndon,Gary,E,"3569 Heavner Court",11101,GaryEHerndon@cuvox.de,Berldn,516-282-8857,185,78.8,9/19/1991,"Cardinal Stores",106-80-6073
American,37,Wallace,Gregory,K,"3608 Lindale Avenue",94541,GregoryKWallace@fleckens.hu,Sivent1985,510-582-6936,190,108.4,10/14/1985,"Rose Records",625-70-6404
American,38,Chase,Clyde,M,"2375 Goldcliff Circle",20024,ClydeMChase@armyspy.com,Juticappithe00,202-646-7205,174,85.5,1/31/2000,"Home Quarters Warehouse",579-02-5831
American,39,Glasser,Yvonne,G,"791 New Street",97232,YvonneGGlasser@superrito.com,Crong1940,541-300-4082,164,65.1,2/27/1940,"Just For Fun",543-19-5460
American,40,Waters,Jessica,R,"1822 Alpha Avenue",32246,JessicaRWaters@armyspy.com,Bonly1986,904-218-6755,172,83.3,2/20/1986,"Pro Garden Management",262-14-0856
American,41,Wilson,Bettie,K,"1073 Hart Street",06182,BettieKWilson@einrot.com,Grequitairs,860-316-0370,174,95.9,5/25/1978,"Monk Home Loans",043-38-9644
American,42,Dorsey,Mildred,R,"725 Polk Street",85701,MildredRDorsey@fleckens.hu,Twoment,520-792-6641,159,76.3,1/1/1950,"Showbiz Pizza Place",764-50-1107
American,43,Ali,Thomas,M,"3907 Oak Ridge Drive",63468,ThomasMAli@rhyta.com,Witheat,573-588-1693,179,86.5,4/25/1979,Sambo's,492-66-8316
American,44,Pendleton,Corey,C,"2648 Oakridge Farm Lane",53202,CoreyCPendleton@cuvox.de,Sooke1937,262-299-1645,178,67.8,12/27/1937,Hoyden,397-07-2833
American,45,Walker,Rose,J,"3757 Hewes Avenue",21202,RoseJWalker@gustr.com,Stolliffind,443-601-0856,157,84.6,12/12/1976,"L.L. Berger",216-26-8797
American,46,Fowler,Valerie,R,"26 Lynn Avenue",54701,ValerieRFowler@armyspy.com,Cleaskulty,715-555-8858,157,75.3,4/8/1979,Veramons,394-42-0507
American,47,Rose,Paul,P,"3786 Garfield Road",61602,PaulPRose@superrito.com,Ound1983,309-642-8860,182,111.7,9/7/1983,"Eagle Food Centers",353-24-5808
American,48,Nazario,Fred,N,"198 Coffman Alley",42001,FredNNazario@fleckens.hu,Herfulity,270-771-6432,175,112.4,10/25/1982,"Record Bar",403-06-2597
American,49,Garcia,Donald,I,"3710 Red Hawk Road",56303,DonaldIGarcia@gustr.com,Drusectur,320-722-3918,177,94.7,9/17/1934,"J. Riggings",476-42-7322
American,50,Bucher,Carlos,J,"1197 Poplar Street",60650,CarlosJBucher@rhyta.com,Acquied,708-795-1414,189,86.5,12/21/1987,"Robinson Furniture",359-78-7657
American,51,Boyce,Michael,N,"4470 Stratford Drive",96730,MichaelNBoyce@teleworm.us,Bouthad,808-237-4076,176,95.3,12/7/1991,Brendle's,750-01-9801
American,52,Hardy,Timothy,M,"2639 School Street",06830,TimothyMHardy@cuvox.de,Youghoor97,203-769-1719,182,82.1,4/15/1997,Lazysize,042-50-9572
American,53,Gillette,Andre,C,"1369 Elk City Road",71457,AndreCGillette@jourrapide.com,Himmors,318-238-3162,166,66.5,10/30/1958,"PriceRite Warehouse Club",661-05-3109
American,54,Siciliano,Kellie,M,"3902 Carolyns Circle",75208,KellieMSiciliano@dayrep.com,Eard1933,214-715-5826,158,80.3,8/21/1933,"Simply Save",461-69-4408
American,55,Miller,Herschel,M,"3800 Junior Avenue",30328,HerschelMMiller@dayrep.com,Onewalre1942,404-573-2613,176,92.1,7/15/1942,"Fresh Start",255-89-7281
American,56,Winslow,Christina,M,"4482 Ingram Road",27288,ChristinaMWinslow@gustr.com,Hase1965,336-635-6397,156,91.5,5/12/1965,"National Tea",245-95-3817
American,57,Gray,Sarah,F,"4355 Milford Street",03103,SarahFGray@armyspy.com,Thaveres,603-725-3935,153,76.5,5/20/1956,Netobill,001-01-9072
American,58,McClaran,Tyler,S,"4730 Webster Street",07724,TylerSMcClaran@superrito.com,Horemill,732-544-5866,170,97.0,1/25/1976,"Solid Future",148-07-9141
American,59,Morris,Brittany,R,"4983 Lakeland Terrace",48075,BrittanyRMorris@jourrapide.com,Joho1956,734-360-7119,172,92.7,8/17/1956,"Best Products",368-19-6827
American,60,Sanders,Tom,L,"4326 Williams Lane",67226,TomLSanders@teleworm.us,Derithe,316-630-7141,181,79.8,8/16/1937,"Leonard Krower & Sons",514-46-4836
American,61,Humble,Jeremy,L,"1284 Hedge Street",07087,JeremyLHumble@cuvox.de,Poot1938,908-645-8008,170,73.9,8/18/1938,"Honest Air Group",138-56-1132
American,62,Court,Harold,W,"3534 Grand Avenue",32733,HaroldWCourt@rhyta.com,Cleat1988,407-681-0558,169,80.7,9/15/1988,"Omni Architectural Designs",264-88-9991
American,63,Hartz,Lauren,M,"2104 Mutton Town Road",98368,LaurenMHartz@gustr.com,Fuld1936,360-643-1168,159,87.2,4/3/1936,Mikrotechnic,537-36-3128
American,64,Gallegos,Phillip,K,"1150 Davis Lane",80112,PhillipKGallegos@cuvox.de,Whimor,720-291-7586,169,91.1,5/9/1939,"Brand Names",521-40-8021
American,65,Bonner,Walter,J,"3808 Poplar Avenue",92032,WalterJBonner@dayrep.com,Stemblitrand,619-575-6115,174,63.7,6/10/1950,"Netstars Matrix Design",621-60-9908
American,66,Zeigler,Linda,W,"1457 Whiteman Street",08060,LindaWZeigler@fleckens.hu,Droutich1954,609-914-7540,163,99.2,10/25/1954,Sportmart,156-60-2121
American,67,Cortright,Anne,C,"467 Cecil Street",60605,AnneCCortright@cuvox.de,Folen1956,312-307-4429,159,59.9,10/21/1956,"Nelson Brothers",329-96-9119
American,68,Sales,Pearl,H,"4958 Lakewood Drive",07047,PearlHSales@jourrapide.com,Priagenction,201-861-1194,171,75.8,10/19/1997,"Audio Visions",151-40-0569
American,69,Coleman,Elicia,W,"2080 Briarwood Road",65604,EliciaWColeman@armyspy.com,Goor1945,417-751-1601,164,60.0,6/22/1945,Datacorp,487-19-9944
American,70,Sanchez,Richard,D,"3096 Hope Street",97223,RichardDSanchez@einrot.com,Farome,971-732-2580,172,74.9,10/30/1965,"Audio Aid",541-60-7404
American,71,Moore,Stewart,W,"184 Scenicview Drive",75751,StewartWMoore@teleworm.us,Madicim,430-984-9779,183,64.3,3/28/1946,"Formula Grey",464-67-4432
American,72,Ellison,Arthur,M,"4148 Tipple Road",19140,ArthurMEllison@fleckens.hu,Shentaked,215-707-8128,163,95.1,3/4/1936,"Life's Gold",164-72-6934
American,73,Tapia,Anne,J,"3479 Woodhill Avenue",21202,AnneJTapia@superrito.com,Drandrus,410-846-3482,160,52.7,6/14/1983,"Sanitary Grocery Stores",215-16-8076
American,74,Crichton,Ma,W,"343 Cabell Avenue",22079,MaWCrichton@einrot.com,Himant,703-551-8115,158,65.7,7/6/1978,"Integra Wealth Planners",231-37-1040
American,75,Hayes,Manuel,C,"2911 Powder House Road",33417,ManuelCHayes@rhyta.com,Turnintionce,561-582-4067,182,103.8,1/13/1963,Quickbiz,592-07-8567
American,76,Graves,James,R,"3699 Raver Croft Drive",37421,JamesRGraves@dayrep.com,Slingly,423-553-9686,183,92.6,8/28/1945,"Dee's Drive-In",756-01-5258
American,77,Horak,Alfredo,B,"1063 Milford Street",03053,AlfredoBHorak@cuvox.de,Morlithe,603-674-4159,167,79.5,8/20/1946,"Wickes Furniture",003-05-6326
American,78,Hernandez,Jared,L,"4782 Hope Street",75204,JaredLHernandez@cuvox.de,Afterice,972-212-4950,167,83.9,5/5/1939,"Star Assistance",466-42-9358
American,79,Culligan,Rose,P,"1556 Thompson Street",90248,RosePCulligan@gustr.com,Romint,562-650-2027,155,80.2,11/10/1967,"Cala Foods",612-74-4628
American,80,Pegram,Barbara,R,"277 Edwards Street",27834,BarbaraRPegram@teleworm.us,Fladdre,252-830-0740,160,50.1,11/25/1956,Ardan's,246-94-5622
American,81,Rogers,Eugene,M,"3879 Hartway Street",57702,EugeneMRogers@dayrep.com,Hapse1947,605-718-0750,172,79.0,9/6/1947,Lum's,504-52-3469
American,82,Parrish,Mary,D,"4000 Spadafore Drive",16424,MaryDParrish@superrito.com,Nepre1937,814-683-2378,164,66.3,9/16/1937,"Electric Avenue",163-07-8457
American,83,Davidson,Patricia,J,"1352 Hidden Pond Road",37201,PatriciaJDavidson@einrot.com,Liffiller,615-694-7760,167,86.1,7/18/1956,"Custom Sound",409-40-0804
American,84,Crosswhite,Lori,T,"3867 Maple Street",92683,LoriTCrosswhite@superrito.com,Nowas1950,714-372-0937,159,68.6,12/5/1950,Sampson's,620-11-5901
American,85,Rebello,Peggy,R,"2391 Langtown Road",43609,PeggyRRebello@jourrapide.com,Wayettery1966,567-201-2811,163,104.4,9/27/1966,"Compact Disc Center",291-48-0405
American,86,Washington,Aaron,J,"4853 Thorn Street",82801,AaronJWashington@armyspy.com,Tutes1966,307-675-6377,188,69.1,4/14/1966,"Omni Source",520-43-4130
American,87,Jackson,Denise,B,"1654 Finwood Road",08863,DeniseBJackson@armyspy.com,Exiony,732-417-9325,173,88.7,10/14/1985,"Rolling Thunder",149-26-9536
American,88,Ziemer,Denise,G,"4169 Tavern Place",26505,DeniseGZiemer@dayrep.com,Suabt1949,304-203-3688,154,83.6,11/19/1949,"Sounds Great, Inc",235-32-4343
American,89,Williams,James,R,"3950 Layman Court",30201,JamesRWilliams@gustr.com,Ingete40,678-339-1931,175,82.7,11/19/1940,"Mr Fables",674-12-9752
American,90,Cooper,Helen,B,"4551 Lyon Avenue",02601,HelenBCooper@rhyta.com,Yazzle,508-957-0595,162,79.0,5/4/1935,"Star Interior Design",025-74-3224
American,91,Amos,Charles,J,"2916 Cityview Drive",18067,CharlesJAmos@superrito.com,Thireas,610-438-3739,182,96.4,3/28/1990,"Asian Answers",160-18-6210
American,92,Rust,Roberta,R,"1801 Modoc Alley",83263,RobertaRRust@cuvox.de,Ragrateakent,208-840-1781,163,66.5,10/28/1935,"Larry's Markets",519-17-5520
American,93,Sanders,Brian,F,"3228 Garfield Road",61455,BrianFSanders@armyspy.com,Asequou,309-705-0003,173,71.5,8/2/1939,"Ukrop's Super Market",337-28-3139
American,94,Glenn,Delores,D,"4866 Ross Street",62239,DeloresDGlenn@gustr.com,Toorse,618-286-5439,166,81.8,11/21/1974,"EXPO Design Center",344-44-6937
American,95,Parkinson,Ethel,A,"1241 Southern Avenue",50401,EthelAParkinson@einrot.com,Dris1937,641-423-5476,160,82.5,2/10/1937,"On Cue",479-33-5187
American,96,Keane,Elmer,P,"1748 Rodney Street",63146,ElmerPKeane@jourrapide.com,Stione,636-497-0418,164,66.3,2/23/1947,"Showbiz Pizza Place",499-80-3623
American,97,Moore,Amy,A,"4554 Farm Meadow Drive",38574,AmyAMoore@jourrapide.com,Heausuce,931-239-0803,161,59.9,3/23/1937,"Super Saver Foods",756-01-8891
American,98,Young,Ann,M,"542 Whispering Pines Circle",75240,AnnMYoung@superrito.com,Cargeople,972-404-3677,166,87.6,6/1/1994,"Omni Tech",465-51-5687
American,99,Cromer,Whitney,R,"896 Goodwin Avenue",99163,WhitneyRCromer@gustr.com,Annessare,509-332-8330,161,77.6,3/15/1990,"China Coast",532-40-2460
American,100,Early,Willie,P,"3220 Hilltop Street",01103,WilliePEarly@rhyta.com,Porge1953,413-672-8509,170,64.8,6/12/1953,"Zany Brainy",024-16-7299
American,101,Holloway,Mary,J,"4918 Ferguson Street",01740,MaryJHolloway@cuvox.de,Tere1990,508-524-8186,167,100.5,8/5/1990,Adaptaz,019-01-0220
American,102,White,Curtis,C,"267 Redbud Drive",10011,CurtisCWhite@superrito.com,Liffe1981,347-694-3524,173,63.0,3/22/1981,"Garden Guru",088-52-2207
American,103,Coleman,Kay,J,"773 Capitol Avenue",46204,KayJColeman@dayrep.com,Senguen,765-512-8182,157,66.7,1/6/1959,"Block Distributors",311-42-5356
American,104,Leach,Susan,J,"3986 Prospect Street",08021,SusanJLeach@dayrep.com,Unced1961,856-651-3632,165,59.8,5/2/1961,"Maloley's Finer Foods",144-74-9164
American,105,Cox,Eugene,L,"2628 Grant Street",75551,EugeneLCox@einrot.com,Wartime,903-799-9902,181,79.2,5/17/1997,Sandy's,629-54-7561
American,106,Hoy,Nichole,R,"2164 Mount Olive Road",30303,NicholeRHoy@einrot.com,Atileture,678-926-6911,160,100.9,8/28/1982,"Prahject Planner",668-07-7346
American,107,Johnson,Lawrence,M,"4974 Rivendell Drive",44203,LawrenceMJohnson@rhyta.com,Hican1962,330-848-8431,177,69.4,11/8/1962,"Disc Jockey",272-62-0066
American,108,Green,Paula,J,"3604 Dovetail Estates",74766,PaulaJGreen@gustr.com,Brinclact,580-981-9391,156,75.1,6/17/1951,"CSK Auto",447-12-4627
American,109,Wilhite,Edwin,R,"1674 Abia Martin Drive",11590,EdwinRWilhite@jourrapide.com,Cese1987,631-523-6401,186,95.6,9/14/1987,"De Pinna",089-07-0434
American,110,Smith,Spencer,M,"1052 Smithfield Avenue",79321,SpencerMSmith@gustr.com,Romek1948,806-657-3142,172,69.6,6/22/1948,"Alpha Beta",451-28-2922
American,111,Sanchez,Tracie,P,"3574 Hayhurst Lane",48302,TraciePSanchez@fleckens.hu,Truiates1966,248-821-3834,154,99.6,5/18/1966,Angel's,378-70-2929
American,112,Stang,Sarah,S,"4067 Ritter Avenue",48302,SarahSStang@dayrep.com,Panduch,586-668-2828,171,85.2,10/2/1962,"Team Electronics",374-05-5669
American,113,Ortega,Jacqueline,J,"3494 Davisson Street",47932,JacquelineJOrtega@teleworm.us,Sietaing,765-793-5643,173,75.3,8/12/1974,Heslop's,317-09-2226
American,114,Stadler,Amy,J,"1642 Quiet Valley Lane",91301,AmyJStadler@cuvox.de,Randuce1948,818-879-4289,170,78.3,12/28/1948,"Clemens Markets",610-19-8977
American,115,Roberts,Marion,V,"3498 Leroy Lane",40391,MarionVRoberts@einrot.com,Aske1959,606-200-8348,178,63.5,5/20/1959,"Albers Super Markets",405-07-9793
American,116,Sheridan,James,A,"186 Bingamon Road",44128,JamesASheridan@einrot.com,Thicileares1934,440-534-3775,167,84.5,5/19/1934,"Carrols Restaurant Group",295-11-6295
American,117,Bautista,Christopher,V,"661 Angie Drive",92683,ChristopherVBautista@dayrep.com,Saive1944,714-894-6010,163,72.4,10/13/1944,Erol's,564-93-0542
American,118,Hamilton,Walter,T,"1745 Rhode Island Avenue",22070,WalterTHamilton@rhyta.com,Coguld,202-386-8516,166,89.8,2/22/1967,VitaGrey,579-92-4130
American,119,Warren,James,L,"2226 Flinderation Road",60191,JamesLWarren@rhyta.com,Agover,708-406-6157,175,101.5,1/19/1954,"Gene Walter's Marketplace",329-76-4456
American,120,Kendrick,David,C,"405 Holly Street",30601,DavidCKendrick@fleckens.hu,Mances,706-227-3411,184,94.6,11/23/1945,"Pay'N Takeit",667-07-2553
American,121,Edwards,Mildred,A,"4492 Khale Street",29461,MildredAEdwards@teleworm.us,Conquar,843-565-0689,161,64.6,7/20/1998,"Network Air",251-80-3899
American,122,Sumner,Angela,P,"2887 Ruckman Road",73601,AngelaPSumner@einrot.com,Verl1960,405-829-0223,153,90.7,9/21/1960,"Sun Foods",441-19-9231
American,123,Strode,Ralph,D,"124 Cliffside Drive",14821,RalphDStrode@cuvox.de,Crinew,607-527-1108,183,94.5,12/18/1957,"Life Map",078-90-5817
American,124,Stovall,Tim,J,"2199 Ashford Drive",22304,TimJStovall@superrito.com,Exclem1986,703-635-5979,181,94.6,8/23/1986,"China Coast",691-05-9671
American,125,Crosby,Camille,C,"3079 Pritchard Court",55060,CamilleCCrosby@rhyta.com,Deres1935,507-431-1655,153,83.7,3/15/1935,"Olympic Sports",469-13-3459
American,126,Holcombe,Rachel,G,"3490 Lake Floyd Circle",20783,RachelGHolcombe@einrot.com,Homeen,301-928-9293,166,49.6,2/21/1989,Stratabiz,217-48-3649
American,127,Johnson,John,F,"4851 Cinnamon Lane",78212,JohnFJohnson@dayrep.com,Reords,210-753-7062,172,101.5,3/19/1975,"Auto Works",450-29-7816
American,128,Stanback,Amanda,H,"826 Clarence Court",28306,AmandaHStanback@dayrep.com,Tooffer,910-252-2867,158,81.1,4/26/1934,"Glicks Furniture",683-07-6020
American,129,Stansberry,Elizabeth,J,"2499 Doctors Drive",90247,ElizabethJStansberry@rhyta.com,Hichislon,310-402-0752,166,53.5,1/21/1971,Tradewell,606-76-1961
American,130,Watson,Antonio,D,"4454 Jerome Avenue",78550,AntonioDWatson@einrot.com,Anxiell,956-302-7412,165,102.1,5/11/1957,Silverwoods,641-86-0224
American,131,Perron,Daniel,J,"3270 Green Acres Road",28532,DanielJPerron@dayrep.com,Trows1976,252-463-7083,181,78.0,2/1/1976,"E.J. Korvette",684-03-4694
American,132,Schoen,Harry,L,"1269 Meadow Lane",95485,HarryLSchoen@cuvox.de,Spestook,707-275-5625,164,74.9,5/31/1950,Mervyn's,620-70-6170
American,133,Molina,Oscar,V,"3644 Randolph Street",02132,OscarVMolina@armyspy.com,Farturen,508-728-4340,169,68.7,2/15/1958,"Red Baron Electronics",031-01-8903
American,134,McCauley,Kyle,M,"3130 Stockert Hollow Road",98109,KyleMMcCauley@fleckens.hu,Nothemould,425-903-4583,187,81.3,4/28/1978,"Leonard Krower & Sons",538-35-6799
American,135,Lindsey,Sean,C,"4300 Mulberry Street",75901,SeanCLindsey@armyspy.com,Hableartur,936-676-5543,178,100.4,10/11/1985,"EXPO Design Center",464-16-7427
American,136,Langley,Scott,A,"1389 Hidden Valley Road",17345,ScottALangley@jourrapide.com,Deverecter,717-266-7870,183,99.9,8/18/1938,"Unity Frankford Stores",209-44-6951
American,137,Cummings,Thomas,M,"825 Kenwood Place",33306,ThomasMCummings@fleckens.hu,Famooselly,954-564-7707,173,93.8,12/27/1983,"System Star Solutions",771-14-8272
American,138,Rosenfeld,Jesse,R,"635 Goldcliff Circle",20005,JesseRRosenfeld@armyspy.com,Vage1955,202-564-4995,156,98.2,1/14/1955,"Lechters Housewares",578-06-9769
American,139,Jordan,William,S,"4209 Canis Heights Drive",90071,WilliamSJordan@jourrapide.com,Haturim,213-615-1416,172,98.2,9/4/1939,"Advansed Teksyztems",610-78-8825
American,140,Chambliss,Joan,R,"4977 Sunburst Drive",33908,JoanRChambliss@armyspy.com,Faillie,239-454-8807,154,71.8,7/10/1979,Peaches,261-36-0239
American,141,Franco,Carolyn,R,"3352 Bombardier Way",48075,CarolynRFranco@dayrep.com,Rievered,734-879-3813,159,79.5,11/23/1933,"Helping Hand",384-64-5668
American,142,Chisholm,Jacqueline,E,"4262 Beech Street",94107,JacquelineEChisholm@fleckens.hu,Plithenewark,925-750-8527,168,79.8,8/22/1967,"Our Own Hardware",555-98-3116
American,143,Kohler,John,L,"4958 Roosevelt Street",94612,JohnLKohler@fleckens.hu,Clueer,415-372-5296,185,93.4,3/30/1963,"County Seat",621-55-4919
American,144,Garcia,Christopher,L,"2222 Leroy Lane",57102,ChristopherLGarcia@fleckens.hu,Insittlyse,605-940-4583,162,91.7,1/12/1943,"Carl Durfees",504-06-7729
American,145,Leal,Lorraine,J,"1309 Redbud Drive",10013,LorraineJLeal@superrito.com,Harturch,347-701-1009,164,80.3,2/23/1967,"Integra Investment Plan",129-94-0363
American,146,Pizzo,Edward,D,"4952 Grove Street",11735,EdwardDPizzo@einrot.com,Kneliking,631-752-9830,175,73.5,8/29/1972,"Pantry Pride",077-14-6061
American,147,Trevino,Imelda,R,"2928 Walnut Street",39402,ImeldaRTrevino@fleckens.hu,Exiligh,601-590-8037,158,105.2,3/6/1977,"Rainbow Bay Crafts",587-64-7539
American,148,Dortch,Kathleen,B,"1492 Haven Lane",48185,KathleenBDortch@armyspy.com,Witied,517-673-6152,172,90.9,3/14/1965,"Two Pesos",377-06-6031
American,149,Freed,Lisa,L,"346 Smithfield Avenue",79401,LisaLFreed@einrot.com,Troffee,806-725-9997,155,78.6,11/22/1955,Lechmere,630-64-0193
American,150,Valle,Keith,E,"956 Martha Street",86034,KeithEValle@rhyta.com,Frouths,928-737-3179,178,61.0,1/5/1993,"Star Bright Investment Group",601-31-0794
American,151,Salcido,Corrine,W,"4752 Morgan Street",32301,CorrineWSalcido@dayrep.com,Bobjew,850-431-8701,165,59.6,1/13/1962,"Jeans Unlimited",590-91-0001
American,152,Gibb,Phillip,M,"1725 Broaddus Avenue",42431,PhillipMGibb@armyspy.com,Dinar1940,270-206-4911,181,100.0,1/16/1940,"Chess King",403-74-8524
American,153,Cooper,Milton,J,"3584 Hardesty Street",12953,MiltonJCooper@cuvox.de,Andsor,518-481-0791,166,96.5,3/9/1949,Vari-Tec,131-80-9832
American,154,Hall,Susan,E,"4589 Ocala Street",32801,SusanEHall@armyspy.com,Lisher,407-420-1629,166,76.6,4/26/1951,"Edge Garden Services",770-38-1991
American,155,Barr,Loraine,M,"582 Diamond Street",28202,LoraineMBarr@rhyta.com,Quainged,828-434-1273,167,57.2,1/17/1973,"The Flying Bear",238-77-5663
American,156,Williams,Ryan,H,"277 Edwards Street",28560,RyanHWilliams@armyspy.com,Beele1937,252-665-3993,169,88.3,4/27/1937,"Children's Palace",237-23-8815
American,157,Buehler,Sue,B,"1069 Morgan Street",32340,SueBBuehler@armyspy.com,Carror,850-464-8783,168,84.3,10/16/1955,"Fragrant Flower Lawn Services",591-01-9502
